"cod_coordenacao_regional";"coordenacao_regional";"cod_escola";"escola";"tipo_escola";"cod_bloco_predio";"bloco_predio";"cod_ambiente_fisico";"ambiente_fisico";"tipo_ambiente";"funcao_origem";"funcao_utilizacao";"ambiente_fisico_descricao";"ambiente_fisico_area_m2"
8;CRE - Núcleo Bandeirante;456;CAIC Juscelino Kubitschek;pública;2.715;T;200.535;T 73;ADM/SERVIÇOS;RECEPÇÃO;COORDENAÇÃO;;"15;6"
8;CRE - Núcleo Bandeirante;456;CAIC Juscelino Kubitschek;pública;2.715;T;200.536;T 68;ADM/SERVIÇOS;BANHEIRO;BANHEIRO;;"2;6"
8;CRE - Núcleo Bandeirante;456;CAIC Juscelino Kubitschek;pública;2.715;T;200.537;T 67;ADM/SERVIÇOS;ÁREA DE SERVIÇO;DEPÓSITO;;"7;8"
8;CRE - Núcleo Bandeirante;456;CAIC Juscelino Kubitschek;pública;2.715;T;200.538;T 64;ADAPTADO;ÁREA DE SERVIÇO;SALA DE AULA;;26
8;CRE - Núcleo Bandeirante;456;CAIC Juscelino Kubitschek;pública;2.715;T;200.539;T 74;ADAPTADO;SECRETARIA;SALA DE AULA;;"15;6"
8;CRE - Núcleo Bandeirante;456;CAIC Juscelino Kubitschek;pública;2.715;T;200.540;T 76;ADM/SERVIÇOS;DIREÇÃO;SALA ESPECIAL;;13
8;CRE - Núcleo Bandeirante;456;CAIC Juscelino Kubitschek;pública;2.715;T;200.541;T 48;ADM/SERVIÇOS;DESPENSA;DESPENSA;;"5;2"
8;CRE - Núcleo Bandeirante;456;CAIC Juscelino Kubitschek;pública;2.715;T;200.542;T 17;ADM/SERVIÇOS;BANHEIRO;BANHEIRO;;"2;6"
8;CRE - Núcleo Bandeirante;456;CAIC Juscelino Kubitschek;pública;2.715;T;200.543;T 41;ADM/SERVIÇOS;BIBLIOTECA;SALA DE REUNIÕES;;"93;6"
8;CRE - Núcleo Bandeirante;447;Escola Classe 03 do Núcleo Bandeirante;pública;407;A;200.545;Sala 18;ADM/SERVIÇOS;SALA ESPECIAL;SALA DE RECURSOS;;9
8;CRE - Núcleo Bandeirante;447;Escola Classe 03 do Núcleo Bandeirante;pública;407;A;200.546;Sala 25;ADM/SERVIÇOS;BANHEIRO;BANHEIRO;;"9;15"
8;CRE - Núcleo Bandeirante;447;Escola Classe 03 do Núcleo Bandeirante;pública;965;B;200.547;Sala 01;DESVIADO;SALA DE AULA;SALA ESPECIAL;DRE/GIAE;"54;45"
8;CRE - Núcleo Bandeirante;447;Escola Classe 03 do Núcleo Bandeirante;pública;965;B;200.548;Sala 07;DESVIADO;SALA DE AULA;SALA ESPECIAL;CRE/NB - NEXP;"54;45"
8;CRE - Núcleo Bandeirante;447;Escola Classe 03 do Núcleo Bandeirante;pública;965;B;200.549;Sala 12;ADM/SERVIÇOS;BANHEIRO;BANHEIRO;;5
8;CRE - Núcleo Bandeirante;447;Escola Classe 03 do Núcleo Bandeirante;pública;965;B;200.550;Sala 13;ADM/SERVIÇOS;SALA DE MULTIMÍDIA;SALA DE MULTIMÍDIA;;"38;9"
8;CRE - Núcleo Bandeirante;447;Escola Classe 03 do Núcleo Bandeirante;pública;965;B;200.551;Sala 14;ADM/SERVIÇOS;SALA DE RECURSOS;SALA DE RECURSOS;Altas Habilidades;"16;65"
8;CRE - Núcleo Bandeirante;447;Escola Classe 03 do Núcleo Bandeirante;pública;965;B;200.552;Sala 15;ADM/SERVIÇOS;SALA DE APOIO;SALA DE APOIO;SEAA;"17;2"
8;CRE - Núcleo Bandeirante;447;Escola Classe 03 do Núcleo Bandeirante;pública;407;A;200.553;Sala 28;ADM/SERVIÇOS;SECRETARIA;SECRETARIA;;"36;6"
8;CRE - Núcleo Bandeirante;441;Centro de Educação Infantil do Núcleo Bandeirante;pública;1.466;C;200.554;Sala 05;ADM/SERVIÇOS;DEPÓSITO;DEPÓSITO;;"14;75"
8;CRE - Núcleo Bandeirante;441;Centro de Educação Infantil do Núcleo Bandeirante;pública;1.466;C;200.555;Sala 04;ADM/SERVIÇOS;DESPENSA;DESPENSA;;14
8;CRE - Núcleo Bandeirante;456;CAIC Juscelino Kubitschek;pública;2.715;T;200.556;T 39;ADM/SERVIÇOS;BANHEIRO;BANHEIRO;;"2;6"
8;CRE - Núcleo Bandeirante;456;CAIC Juscelino Kubitschek;pública;2.715;T;200.557;T 72;ADM/SERVIÇOS;DESPENSA;DESPENSA;;"5;2"
8;CRE - Núcleo Bandeirante;453;Escola Classe Kanegae;pública;971;B;200.558;Sala 01;ADM/SERVIÇOS;SALA DE SERVIDORES;SALA DE SERVIDORES;;"10;8"
8;CRE - Núcleo Bandeirante;442;Centro de Educação Infantil do Riacho Fundo II;pública;961;B;200.559;Sala 05;ADM/SERVIÇOS;SALA DE MULTIMÍDIA;LABORATÓRIO DE INFORMÁTICA;SALA DE VIDEO;44
8;CRE - Núcleo Bandeirante;69;Centro de Ensino Fundamental Telebrasília;pública;2.696;T;200.560;Sala 07;ADM/SERVIÇOS;BANHEIRO;BANHEIRO;MASCULINO;"5;76"
8;CRE - Núcleo Bandeirante;442;Centro de Educação Infantil do Riacho Fundo II;pública;403;A;200.562;Sala 16;ADM/SERVIÇOS;BANHEIRO;BANHEIRO;;"8;97"
