code;name;total_rooms;used_rooms;amount_employees;technical_or_high_school
53001427;CRESCA C DE REALIZACAO CRIADORA - ESC DE EDUC BASICA;50;50;51;false
53001435;EC DA VILA DO RCG;4;4;27;false
53001443;CEF 102 NORTE;10;8;60;false
53001451;EC 102 SUL;9;9;47;false
53001460;CEF 104 NORTE;11;11;52;false
53001478;EC 106 NORTE;8;8;43;false
53005430;C INTEGRADO DE ATENCAO MATERNO INF - CIAMI;0;0;0;false
53005252;CEI 01 DE BRAZLANDIA;11;11;54;false
53005260;JI MENINO JESUS;12;12;60;false
53005309;CAIC JULIA KUBITSCHEK DE OLIVEIRA;40;40;167;false
53005317;CED ARCO IRIS - CEAI;13;13;29;false
53005333;CEF 01 DE SOBRADINHO;11;11;76;false
53005341;CED 03 DE SOBRADINHO;26;26;97;false
53002016;ESC GOLFINHO DOURADO;18;18;35;false
53002024;COL LOGOSOFICO GONZALEZ PECOTCHE - UNIDADE BRASILIA;12;12;95;false
53002032;COL MORAES REGO;21;21;100;false
53002040;ESC MARIA MONTESSORI - EF;43;42;301;false
53002067;ESC FRANCISCANA NOSSA SRA DE FATIMA;40;40;130;false
53002075;COL SANTO ANTONIO;60;60;152;false
53002083;ESC PEDACINHO DO CEU - ASA NORTE;13;13;70;false
53002105;CED PIA MATER;25;25;94;false
53002121;ESC TECNICA DE SAUDE DE BRASILIA - ETESB;5;5;28;false
53002130;ESC TECNICA DE SAUDE;7;7;20;false
53002148;ESC MENINOS E MENINAS DO PARQUE;11;11;26;false
53002156;ESC INF CICERO PEREIRA;9;9;44;false
53002164;SIGMA L2 NORTE;42;42;150;false
53006160;CEF 04 DE PLANALTINA;20;19;144;false
53002881;EC 10 DO GAMA;12;10;36;false
53002890;EC 12 DO GAMA;12;10;59;false
53002903;JI 03 DO GAMA;8;8;42;false
53002911;EC 14 DO GAMA;12;12;53;false
53002920;EC 15 DO GAMA;12;12;63;false
53002938;EC 16 DO GAMA;10;10;41;false
53002946;EC 17 DO GAMA;10;9;55;false
53002954;EC 18 DO GAMA;16;13;60;false
53002962;EC 19 DO GAMA;13;12;60;false
53002970;JI 02 DO GAMA;9;9;57;false
53002989;EC 21 DO GAMA;8;8;50;false
53002997;EC 22 DO GAMA;15;15;59;false
53003004;CEF 03 DO GAMA;20;19;120;false
53003012;JI 05 DO GAMA;8;8;41;false
53003020;EC 28 DO GAMA;9;8;40;false
53012658;OBRAS SOCIAIS DA PAROQUIA SAO SEBASTIAO;0;0;0;false
53014669;COL JK GAMA - UNIDADE II;0;0;0;false
53068165;EC 02 DA ESTRUTURAL;15;15;77;false
53068173;EC 831 DE SAMAMBAIA;15;15;61;false
53068181;CED 310 DE SANTA MARIA;18;18;98;false
53068190;EC 01 DO PORTO RICO;12;11;50;false
53068203;EC 02 DO ITAPOA;16;16;60;false
53068211;CEF MIGUEL ARCANJO;19;19;93;false
53068220;EC DOM BOSCO;10;10;44;false
53068238;EC VILA BURITIS;21;21;71;false
53068254;C SOCIAL COMUNITARIO TIA ANGELINA;11;11;61;false
53081013;COL GAMALIEL;15;9;22;false
53081021;ESC ESTRELA GUIA;7;7;10;false
53082001;COL IMPACTO;27;27;42;false
53082028;ESC DO ENS BASICO PINGUE PONGUE;6;6;10;false
53083008;TIO PATINHAS ESC DE EDUC INF;4;4;13;false
53014120;CE ARIGATO;0;0;0;false
53004280;CEF 16 DE TAGUATINGA;13;10;48;false
53004299;CEF 21 DE TAGUATINGA;15;13;89;false
53004302;CEI 06 DE TAGUATINGA;12;10;70;false
53012364;CR CAMINHO DE LUZ;0;0;0;false
53007794;EC 20 DE CEILANDIA;10;10;62;false
53007808;EC 21 DE CEILANDIA;20;18;75;false
53007816;EC 22 DE CEILANDIA;13;13;58;false
53007824;EC 24 DE CEILANDIA;9;9;61;false
53007832;EC 25 DE CEILANDIA;20;19;91;false
53007840;EC 26 DE CEILANDIA;10;10;48;false
53007859;EC 27 DE CEILANDIA;13;13;34;false
53007867;EC 28 DE CEILANDIA;11;11;47;false
53007875;EC 29 DE CEILANDIA;10;10;58;false
53007883;CEF 26 DE CEILANDIA;23;23;78;false
53007891;EC 33 DE CEILANDIA;20;19;89;false
53007905;EC 34 DE CEILANDIA;20;18;90;false
53005350;CEF 03 DE SOBRADINHO;19;19;131;false
53005368;CEF 04 DE SOBRADINHO;20;20;154;false
53005376;CEF 05 DE SOBRADINHO;16;16;105;false
53005384;EC 15 DE SOBRADINHO;23;23;88;false
53005392;CED FERCAL;8;8;69;false
53005406;CEF QUEIMA LENCOL;13;13;66;false
53005457;CE SANTA RITA DE CASSIA;23;23;101;false
53005465;CEM 01 DE SOBRADINHO;26;25;172;false
53013778;ESC ABM;0;0;0;false
53014774;INST ESPIRITA DE EDUC;0;0;0;false
53008529;CEF 02 DO GUARA;13;13;85;false
53008545;COL ROGACIONISTA;37;37;179;false
53008553;CR SORRISO DE MARIA;5;5;32;false
53008561;EC 01 DO GUARA;9;9;54;false
53008570;EC 02 DO GUARA;8;8;63;false
53008588;EC 03 DO GUARA;9;9;64;false
53006178;IFB - CAMPUS PLANALTINA;26;26;200;false
53006186;EC 01 DE PLANALTINA;11;11;72;false
53006194;EC 03 DE PLANALTINA;11;11;62;false
53006208;EC 04 DE PLANALTINA;11;11;57;false
53006216;EC 05 DE PLANALTINA;14;14;65;false
53006224;EC 06 DE PLANALTINA;13;13;71;false
53006232;EC 07 DE PLANALTINA;10;10;57;false
53006240;CEF 08 DE PLANALTINA;11;11;64;false
53006259;EC 09 DE PLANALTINA;10;9;40;false
53006267;EC 10 DE PLANALTINA;14;13;67;false
53006275;EC 11 DE PLANALTINA;14;11;55;false
53006283;CED 03 DE PLANALTINA;18;18;118;false
53006291;EC 13 DE PLANALTINA;11;10;39;false
53006305;EC 14 DE PLANALTINA;16;16;58;false
53016084;C UNIVERSITARIO EURO AMERICANO - UNIEURO ASA SUL;0;0;0;false
53007018;EC KANEGAE;3;3;32;false
53007026;EC VERDE DO RIACHO FUNDO I;16;16;78;false
53007034;CAIC JUSCELINO KUBITSCHEK;26;26;129;false
53007042;CEF 01 DO NUCLEO BANDEIRANTE;16;16;84;false
53007050;COL LA SALLE AGUAS CLARAS;75;75;279;false
53007069;CEF METROPOLITANA;15;14;58;false
53007077;CEM URSO BRANCO;21;14;119;false
53007085;CED ORIGEM;13;13;40;false
53007123;EC 03 DO NUCLEO BANDEIRANTE;10;10;58;false
53007131;EC 04 DO NUCLEO BANDEIRANTE;8;8;40;false
53007140;EC 05 DO NUCLEO BANDEIRANTE;7;7;41;false
53007182;ESC SALESIANA SAO DOMINGOS SAVIO;23;23;60;false
53007190;COL LA SALLE;27;27;139;false
53007204;CEI DO NUCLEO BANDEIRANTE;11;11;64;false
53001141;CED OBJETIVO SP-B;0;0;0;false
53010647;ESC CASTELINHO ENCANTADO - ESCEN;0;0;0;false
53010051;CR CANTINHO DA AMIZADE;0;0;0;false
53034007;CED SS;0;0;0;false
53015746;ESC ESPACO INTEGRACAO;4;4;23;false
53015770;CEI 203 DE SANTA MARIA;10;8;45;false
53015789;COL OLIMPO DE AGUAS CLARAS;16;12;94;false
53015797;CEPI FLOR DE LIS;9;9;31;false
53015819;CED JUSCELINO KUBITSCHEK - TAGUATINGA;22;16;38;false
53015827;ESC DE EDUC INF CORACAO DE CRISTO;9;9;46;false
53015835;CR CASA DA MAE PRETA DO BRASIL - CPMB;6;6;37;false
53015843;CR RENASCER E ESC TIO PEDRO;10;4;21;false
53015860;CASA DE BRINQUEDOS BABY;12;6;18;false
53015878;COL BIANGULO;20;20;50;false
53015886;ESC KK;15;13;120;false
53015894;COL LICEU;60;43;88;false
53015940;CEPI ANGELINS;9;9;41;false
53015959;BERCARIO E CR ALEGRIA DO SABER;7;7;19;false
53012577;ESC DESCOBRINDO A VIDA MAT E JI;0;0;0;false
53000803;C INF REINO ENCANTADO;0;0;0;false
53007913;EC 36 DE CEILANDIA;15;15;83;false
53007921;CED 11 DE CEILANDIA;20;18;133;false
53007930;EC 38 DE CEILANDIA;22;22;83;false
53016092;C UNIVERSITARIO EURO AMERICANO - UNIEURO AGUAS CLARAS;0;0;0;false
53011805;COL PALOMA;19;18;47;false
53011821;CE PIAGET;20;16;40;false
53011830;CED EXPOENTE;14;14;42;false
53011872;CE CANDANGUINHO - CECAN;46;46;282;false
53011880;COL TRIANGULO;15;15;38;false
53011899;INEB - INST EDUCACIONAL DE BRASILIA;18;14;40;false
53011902;ESC JARDIM DO EDEN;24;24;66;false
53011929;CED PARQUE ENCANTADO;20;13;69;false
53011970;ESC CLUBE DA CRIANCA;21;21;45;false
53011988;CED SAO JOSE;18;18;123;false
53011996;CEM 414 DE SAMAMBAIA;18;18;116;false
53008596;EC 05 DO GUARA;11;11;54;false
53008618;EC 07 DO GUARA;14;14;85;false
53008626;EC DO SRIA;5;5;30;false
53008634;ESC ADVENTISTA DO GUARA;9;9;42;false
53008669;JI A PANTERINHA;3;3;5;false
53008685;ESC PEDACINHO DO CEU;20;20;122;false
53008707;JI LUCIO COSTA;5;5;37;false
53008774;CEF 01 DO CRUZEIRO;19;19;83;false
53012704;C DE CONVIVENCIA E EDUC INF NOSSA SENHORA DO CARMO;12;12;59;false
53012720;CEM 02 DE BRAZLANDIA;18;18;94;false
53012739;EC REINO DAS FLORES;3;3;25;false
53012747;CEF ARAPOANGA;15;15;96;false
53012755;CEI AFMA;14;14;35;false
53012763;INSTITUICAO EDUCACIONAL SANTA LUZIA;13;13;68;false
53009363;CEF 115 DO RECANTO DAS EMAS;16;16;72;false
53009380;CED CASA GRANDE;9;9;92;false
53009398;EC CORREGO BARREIRO;5;5;34;false
