code;name;total_rooms;used_rooms;amount_employees
53013379;COL CANTINHO DO SABER;10.0;10.0;18.0
53013387;C EDUCATIVO PASSIONISTA MAE DA SANTA ESPERANCA;28.0;28.0;69.0
53013395;ESC E RECREACAO GENTE QUE CRESCE;7.0;7.0;8.0
53013425;INST TECNICO EDUCACIONAL MADRE TERESA;50.0;50.0;550.0
53013433;COL TEMPO REAL;9.0;7.0;8.0
53013441;CED CETESI;50.0;50.0;122.0
53013450;INSEF - INST DE EDUC FENIX;14.0;13.0;51.0
53013476;COL ISAAC NEWTON;50.0;50.0;47.0
53013484;EC 104 DE SAO SEBASTIAO;20.0;20.0;72.0
53013492;EC BASEVI;8.0;8.0;45.0
53009843;ESC MAT E JI MATITA PERE;0.0;0.0;0.0
53016068;C UNIVERSITARIO DE BRASILIA;0.0;0.0;0.0
53002008;ESC FUND ALVACIR VITE ROSSI;18.0;17.0;54.0
53014170;EDUCANDARIO DE MARIA;35.0;23.0;80.0
53014189;EDUCANDARIO DE MARIA - EDUC INF;8.0;8.0;16.0
53014227;CEF 03 DO PARANOA;16.0;16.0;109.0
53014235;EC 100 DE SANTA MARIA;14.0;14.0;80.0
53014243;CE ARTE E MANHA - CENAM;7.0;7.0;9.0
53014260;CEF 602 DO RECANTO DAS EMAS;21.0;20.0;108.0
53014278;EC VALE VERDE;3.0;3.0;19.0
53014286;EC 303 DE SAO SEBASTIAO;16.0;15.0;70.0
53014294;CEF 418 DE SANTA MARIA;22.0;22.0;96.0
53014308;CED POMPILIO MARQUES DE SOUZA;16.0;16.0;113.0
53014316;CED VALE DO AMANHECER;16.0;15.0;62.0
53014324;ESC BEM-ME-QUER;8.0;8.0;46.0
53014332;COL MULTIPLO;13.0;12.0;25.0
53014340;COL MEGA;20.0;16.0;30.0
53013956;CR GOTINHA DE LUZ;0.0;0.0;0.0
53087003;CED SANTOS DUMONT - CESAN;0.0;0.0;0.0
53014065;CE CONSTRUINDO O FUTURO;0.0;0.0;0.0
53015584;CEF 04 DO PARANOA;11.0;11.0;48.0
53015606;INST PAZ E VIDA;10.0;10.0;50.0
53015614;CR MAGIA DOS SONHOS;8.0;8.0;27.0
53015622;CR PASTOR FRANCISCO MIRANDA;7.0;7.0;39.0
53015630;CED BANDEIRANTES - CEBAN;2.0;2.0;20.0
53015649;CEI DIDASCALHO SAO JOSE OPERARIO;5.0;5.0;26.0
53015665;COL MADRE TERESA;50.0;50.0;40.0
53015673;ESC ANA CLARA;17.0;10.0;20.0
53015681;COL ROGACIONISTA SOCIAL SANTO ANIBAL;7.0;4.0;16.0
53015690;CEAV JR AGUAS CLARAS - CED ALMEIDA VIEIRA JUNIOR AGUAS CLARAS;20.0;20.0;60.0
53015703;CR BEBE CONFORTO;5.0;5.0;24.0
53015711;C DE EDUC INF LUVA LULU - CEILL;5.0;4.0;11.0
53015720;ESC LAZER E ARTE;10.0;8.0;14.0
53015738;INST SERRANO;13.0;9.0;15.0
53015126;ESC DE EDUC INF PEQUENO REINO - CEREI;0.0;0.0;0.0
53009991;ESC CASTELINHO FELIZ;0.0;0.0;0.0
53007484;COL OSWALDO CRUZ;0.0;0.0;0.0
53010825;ESC ROCHA FIRME;0.0;0.0;0.0
53014510;ESC ACEMISTA DE EDUC INF ESPACO DA CRIANCA;0.0;0.0;0.0
53059000;CR MARIA DE NAZARE;5.0;5.0;31.0
53065000;CEI SONHO DE CRIANCA - CEISC;22.0;22.0;121.0
53085000;COBIAN - COL BIANGULO;16.0;16.0;45.0
53004167;CEI 05 DE TAGUATINGA;8.0;5.0;39.0
53004175;EC 27 DE TAGUATINGA;23.0;17.0;107.0
53004183;CEI 01 DE TAGUATINGA;8.0;8.0;49.0
53004191;EC 29 DE TAGUATINGA;9.0;8.0;58.0
53004205;CEI 02 DE TAGUATINGA;9.0;9.0;43.0
53004213;EC 39 DE TAGUATINGA;15.0;12.0;71.0
53004221;CEF 19 DE TAGUATINGA;15.0;13.0;78.0
53004230;EC 41 DE TAGUATINGA;20.0;13.0;92.0
53004248;EC 42 DE TAGUATINGA;18.0;16.0;70.0
53004256;CEF 17 DE TAGUATINGA;17.0;15.0;72.0
53004264;EC 45 DE TAGUATINGA;20.0;15.0;67.0
53004272;EC 46 DE TAGUATINGA;11.0;9.0;60.0
53001397;COL SANTA ROSA;25.0;23.0;126.0
53001419;CR E PRE-ESC FUNDACAO CABO FRIO;50.0;50.0;180.0
53001427;CRESCA C DE REALIZACAO CRIADORA - ESC DE EDUC BASICA;50.0;50.0;51.0
53001435;EC DA VILA DO RCG;4.0;4.0;27.0
53001443;CEF 102 NORTE;10.0;8.0;60.0
53001451;EC 102 SUL;9.0;9.0;47.0
53001460;CEF 104 NORTE;11.0;11.0;52.0
53001478;EC 106 NORTE;8.0;8.0;43.0
53005430;C INTEGRADO DE ATENCAO MATERNO INF - CIAMI;0.0;0.0;0.0
53005252;CEI 01 DE BRAZLANDIA;11.0;11.0;54.0
53005260;JI MENINO JESUS;12.0;12.0;60.0
53005309;CAIC JULIA KUBITSCHEK DE OLIVEIRA;40.0;40.0;167.0
53005317;CED ARCO IRIS - CEAI;13.0;13.0;29.0
53005333;CEF 01 DE SOBRADINHO;11.0;11.0;76.0
53005341;CED 03 DE SOBRADINHO;26.0;26.0;97.0
53002016;ESC GOLFINHO DOURADO;18.0;18.0;35.0
53002024;COL LOGOSOFICO GONZALEZ PECOTCHE - UNIDADE BRASILIA;12.0;12.0;95.0
53002032;COL MORAES REGO;21.0;21.0;100.0
53002040;ESC MARIA MONTESSORI - EF;43.0;42.0;301.0
53002067;ESC FRANCISCANA NOSSA SRA DE FATIMA;40.0;40.0;130.0
53002075;COL SANTO ANTONIO;60.0;60.0;152.0
53002083;ESC PEDACINHO DO CEU - ASA NORTE;13.0;13.0;70.0
53002105;CED PIA MATER;25.0;25.0;94.0
53002121;ESC TECNICA DE SAUDE DE BRASILIA - ETESB;5.0;5.0;28.0
53002130;ESC TECNICA DE SAUDE;7.0;7.0;20.0
53002148;ESC MENINOS E MENINAS DO PARQUE;11.0;11.0;26.0
53002156;ESC INF CICERO PEREIRA;9.0;9.0;44.0
53002164;SIGMA L2 NORTE;42.0;42.0;150.0
53006160;CEF 04 DE PLANALTINA;20.0;19.0;144.0
53002881;EC 10 DO GAMA;12.0;10.0;36.0
53002890;EC 12 DO GAMA;12.0;10.0;59.0
53002903;JI 03 DO GAMA;8.0;8.0;42.0
53002911;EC 14 DO GAMA;12.0;12.0;53.0
53002920;EC 15 DO GAMA;12.0;12.0;63.0
53002938;EC 16 DO GAMA;10.0;10.0;41.0
53002946;EC 17 DO GAMA;10.0;9.0;55.0
53002954;EC 18 DO GAMA;16.0;13.0;60.0
53002962;EC 19 DO GAMA;13.0;12.0;60.0
53002970;JI 02 DO GAMA;9.0;9.0;57.0
53002989;EC 21 DO GAMA;8.0;8.0;50.0
53002997;EC 22 DO GAMA;15.0;15.0;59.0
53003004;CEF 03 DO GAMA;20.0;19.0;120.0
53003012;JI 05 DO GAMA;8.0;8.0;41.0
53003020;EC 28 DO GAMA;9.0;8.0;40.0
53012658;OBRAS SOCIAIS DA PAROQUIA SAO SEBASTIAO;0.0;0.0;0.0
53014669;COL JK GAMA - UNIDADE II;0.0;0.0;0.0
53068165;EC 02 DA ESTRUTURAL;15.0;15.0;77.0
53068173;EC 831 DE SAMAMBAIA;15.0;15.0;61.0
53068181;CED 310 DE SANTA MARIA;18.0;18.0;98.0
53068190;EC 01 DO PORTO RICO;12.0;11.0;50.0
53068203;EC 02 DO ITAPOA;16.0;16.0;60.0
53068211;CEF MIGUEL ARCANJO;19.0;19.0;93.0
53068220;EC DOM BOSCO;10.0;10.0;44.0
53068238;EC VILA BURITIS;21.0;21.0;71.0
53068254;C SOCIAL COMUNITARIO TIA ANGELINA;11.0;11.0;61.0
53081013;COL GAMALIEL;15.0;9.0;22.0
53081021;ESC ESTRELA GUIA;7.0;7.0;10.0
53082001;COL IMPACTO;27.0;27.0;42.0
53082028;ESC DO ENS BASICO PINGUE PONGUE;6.0;6.0;10.0
53083008;TIO PATINHAS ESC DE EDUC INF;4.0;4.0;13.0
53014120;CE ARIGATO;0.0;0.0;0.0
53004280;CEF 16 DE TAGUATINGA;13.0;10.0;48.0
53004299;CEF 21 DE TAGUATINGA;15.0;13.0;89.0
53004302;CEI 06 DE TAGUATINGA;12.0;10.0;70.0
53012364;CR CAMINHO DE LUZ;0.0;0.0;0.0
53007794;EC 20 DE CEILANDIA;10.0;10.0;62.0
53007808;EC 21 DE CEILANDIA;20.0;18.0;75.0
53007816;EC 22 DE CEILANDIA;13.0;13.0;58.0
53007824;EC 24 DE CEILANDIA;9.0;9.0;61.0
53007832;EC 25 DE CEILANDIA;20.0;19.0;91.0
53007840;EC 26 DE CEILANDIA;10.0;10.0;48.0
53007859;EC 27 DE CEILANDIA;13.0;13.0;34.0
53007867;EC 28 DE CEILANDIA;11.0;11.0;47.0
53007875;EC 29 DE CEILANDIA;10.0;10.0;58.0
53007883;CEF 26 DE CEILANDIA;23.0;23.0;78.0
53007891;EC 33 DE CEILANDIA;20.0;19.0;89.0
53007905;EC 34 DE CEILANDIA;20.0;18.0;90.0
53005350;CEF 03 DE SOBRADINHO;19.0;19.0;131.0
53005368;CEF 04 DE SOBRADINHO;20.0;20.0;154.0
53005376;CEF 05 DE SOBRADINHO;16.0;16.0;105.0
53005384;EC 15 DE SOBRADINHO;23.0;23.0;88.0
53005392;CED FERCAL;8.0;8.0;69.0
53005406;CEF QUEIMA LENCOL;13.0;13.0;66.0
53005457;CE SANTA RITA DE CASSIA;23.0;23.0;101.0
53005465;CEM 01 DE SOBRADINHO;26.0;25.0;172.0
53013778;ESC ABM;0.0;0.0;0.0
53014774;INST ESPIRITA DE EDUC;0.0;0.0;0.0
53008529;CEF 02 DO GUARA;13.0;13.0;85.0
53008545;COL ROGACIONISTA;37.0;37.0;179.0
53008553;CR SORRISO DE MARIA;5.0;5.0;32.0
53008561;EC 01 DO GUARA;9.0;9.0;54.0
53008570;EC 02 DO GUARA;8.0;8.0;63.0
53008588;EC 03 DO GUARA;9.0;9.0;64.0
53006178;IFB - CAMPUS PLANALTINA;26.0;26.0;200.0
53006186;EC 01 DE PLANALTINA;11.0;11.0;72.0
53006194;EC 03 DE PLANALTINA;11.0;11.0;62.0
53006208;EC 04 DE PLANALTINA;11.0;11.0;57.0
53006216;EC 05 DE PLANALTINA;14.0;14.0;65.0
53006224;EC 06 DE PLANALTINA;13.0;13.0;71.0
53006232;EC 07 DE PLANALTINA;10.0;10.0;57.0
53006240;CEF 08 DE PLANALTINA;11.0;11.0;64.0
53006259;EC 09 DE PLANALTINA;10.0;9.0;40.0
53006267;EC 10 DE PLANALTINA;14.0;13.0;67.0
53006275;EC 11 DE PLANALTINA;14.0;11.0;55.0
53006283;CED 03 DE PLANALTINA;18.0;18.0;118.0
53006291;EC 13 DE PLANALTINA;11.0;10.0;39.0
53006305;EC 14 DE PLANALTINA;16.0;16.0;58.0
53016084;C UNIVERSITARIO EURO AMERICANO - UNIEURO ASA SUL;0.0;0.0;0.0
53007018;EC KANEGAE;3.0;3.0;32.0
53007026;EC VERDE DO RIACHO FUNDO I;16.0;16.0;78.0
53007034;CAIC JUSCELINO KUBITSCHEK;26.0;26.0;129.0
53007042;CEF 01 DO NUCLEO BANDEIRANTE;16.0;16.0;84.0
53007050;COL LA SALLE AGUAS CLARAS;75.0;75.0;279.0
53007069;CEF METROPOLITANA;15.0;14.0;58.0
53007077;CEM URSO BRANCO;21.0;14.0;119.0
53007085;CED ORIGEM;13.0;13.0;40.0
53007123;EC 03 DO NUCLEO BANDEIRANTE;10.0;10.0;58.0
53007131;EC 04 DO NUCLEO BANDEIRANTE;8.0;8.0;40.0
53007140;EC 05 DO NUCLEO BANDEIRANTE;7.0;7.0;41.0
53007182;ESC SALESIANA SAO DOMINGOS SAVIO;23.0;23.0;60.0
53007190;COL LA SALLE;27.0;27.0;139.0
53007204;CEI DO NUCLEO BANDEIRANTE;11.0;11.0;64.0
53001141;CED OBJETIVO SP-B;0.0;0.0;0.0
53010647;ESC CASTELINHO ENCANTADO - ESCEN;0.0;0.0;0.0
53010051;CR CANTINHO DA AMIZADE;0.0;0.0;0.0
53034007;CED SS;0.0;0.0;0.0
53015746;ESC ESPACO INTEGRACAO;4.0;4.0;23.0
53015770;CEI 203 DE SANTA MARIA;10.0;8.0;45.0
53015789;COL OLIMPO DE AGUAS CLARAS;16.0;12.0;94.0
53015797;CEPI FLOR DE LIS;9.0;9.0;31.0
53015819;CED JUSCELINO KUBITSCHEK - TAGUATINGA;22.0;16.0;38.0
53015827;ESC DE EDUC INF CORACAO DE CRISTO;9.0;9.0;46.0
53015835;CR CASA DA MAE PRETA DO BRASIL - CPMB;6.0;6.0;37.0
53015843;CR RENASCER E ESC TIO PEDRO;10.0;4.0;21.0
53015860;CASA DE BRINQUEDOS BABY;12.0;6.0;18.0
53015878;COL BIANGULO;20.0;20.0;50.0
53015886;ESC KK;15.0;13.0;120.0
53015894;COL LICEU;60.0;43.0;88.0
53015940;CEPI ANGELINS;9.0;9.0;41.0
53015959;BERCARIO E CR ALEGRIA DO SABER;7.0;7.0;19.0
53012577;ESC DESCOBRINDO A VIDA MAT E JI;0.0;0.0;0.0
53000803;C INF REINO ENCANTADO;0.0;0.0;0.0
53007913;EC 36 DE CEILANDIA;15.0;15.0;83.0
53007921;CED 11 DE CEILANDIA;20.0;18.0;133.0
53007930;EC 38 DE CEILANDIA;22.0;22.0;83.0
53016092;C UNIVERSITARIO EURO AMERICANO - UNIEURO AGUAS CLARAS;0.0;0.0;0.0
